sampleid	accessionID	forward-barcode	reverse-barcode	calf_id	sample_type	day	treatment
#q2:types	numeric	categorical	categorical	categorical	categorical	categorical	categorical
2	066247	B501	B701	J138	Fecal	0	CON
3	066248	B501	B702	J128	Fecal	0	CON
4	066249	B501	B703	J112	Fecal	0	Tylosin
6	066250	B501	B704	J245	Fecal	0	CON
7	066251	B501	B705	J246	Fecal	0	CON
8	066252	B501	B706	J272*2	Fecal	0	CON
9	066253	B501	B707	J301	Fecal	0	CON
10	066254	B501	B708	J328	Fecal	0	CON
11	066255	B501	B709	J329	Fecal	0	CON
12	066256	B501	B710	J413	Fecal	0	CON
13	066257	B501	B711	J262	Fecal	0	CTC
14	066258	B501	B712	J271	Fecal	0	CTC
15	066259	B502	B701	J286	Fecal	0	CTC
16	066260	B502	B702	J293	Fecal	0	CTC
17	066261	B502	B703	J313	Fecal	0	CTC
18	066262	B502	B704	J321	Fecal	0	CTC
19	066263	B502	B705	J324	Fecal	0	CTC
21	066264	B502	B706	J414	Fecal	0	CTC
22	066265	B502	B707	J422	Fecal	0	CTC
23	066266	B502	B708	J203	Fecal	0	Tylosin
24	066267	B502	B709	J225	Fecal	0	Tylosin
25	066268	B502	B710	J226	Fecal	0	Tylosin
26	066269	B502	B711	J238	Fecal	0	Tylosin
27	066270	B502	B712	J272	Fecal	0	Tylosin
28	066271	B503	B701	J410	Fecal	0	Tylosin
29	066272	B503	B702	J412	Fecal	0	Tylosin
30	066273	B503	B703	J419	Fecal	0	Tylosin
31	066274	B503	B704	J128	Fecal	7	CON
32	066275	B503	B705	J138	Fecal	7	CON
34	066276	B503	B706	J245	Fecal	7	CON
35	066277	B503	B707	J246	Fecal	7	CON
36	066278	B503	B708	J272*2	Fecal	7	CON
37	066279	B503	B709	J301	Fecal	7	CON
38	066280	B503	B710	J328	Fecal	7	CON
39	066281	B503	B711	J329	Fecal	7	CON
40	066282	B503	B712	J413	Fecal	7	CON
41	066283	B504	B701	J262	Fecal	7	CTC
42	066284	B504	B702	J271	Fecal	7	CTC
43	066285	B504	B703	J286	Fecal	7	CTC
44	066286	B504	B704	J293	Fecal	7	CTC
45	066287	B504	B705	J313	Fecal	7	CTC
46	066288	B504	B706	J321	Fecal	7	CTC
47	066289	B504	B707	J324	Fecal	7	CTC
49	066290	B504	B708	J414	Fecal	7	CTC
50	066291	B504	B709	J422	Fecal	7	CTC
51	066292	B504	B710	J112	Fecal	7	Tylosin
53	066293	B504	B711	J203	Fecal	7	Tylosin
54	066294	B504	B712	J225	Fecal	7	Tylosin
55	066295	B505	B701	J226	Fecal	7	Tylosin
56	066296	B505	B702	J238	Fecal	7	Tylosin
57	066297	B505	B703	J272	Fecal	7	Tylosin
58	066298	B505	B704	J410	Fecal	7	Tylosin
59	066299	B505	B705	J412	Fecal	7	Tylosin
60	066300	B505	B706	J419	Fecal	7	Tylosin
61	066301	B505	B707	J128	Fecal	14	CON
62	066302	B505	B708	J138	Fecal	14	CON
64	066303	B505	B709	J245	Fecal	14	CON
65	066304	B505	B710	J246	Fecal	14	CON
66	066305	B505	B711	J272*2	Fecal	14	CON
67	066306	B505	B712	J301	Fecal	14	CON
68	066307	B506	B701	J328	Fecal	14	CON
69	066308	B506	B702	J329	Fecal	14	CON
70	066309	B506	B703	J413	Fecal	14	CON
71	066310	B506	B704	J262	Fecal	14	CTC
72	066311	B506	B705	J271	Fecal	14	CTC
73	066312	B506	B706	J286	Fecal	14	CTC
74	066313	B506	B707	J293	Fecal	14	CTC
76	066314	B506	B708	J321	Fecal	14	CTC
75	066315	B506	B709	J313	Fecal	14	CTC
77	066316	B506	B710	J324	Fecal	14	CTC
79	066317	B506	B711	J414	Fecal	14	CTC
80	066318	B506	B712	J422	Fecal	14	CTC
81	066319	B507	B701	J112	Fecal	14	Tylosin
83	066320	B507	B702	J203	Fecal	14	Tylosin
95	066321	B507	B703	J246	Fecal	28	CON
84	066322	B507	B704	J225	Fecal	14	Tylosin
85	066323	B507	B705	J226	Fecal	14	Tylosin
86	066324	B507	B706	J238	Fecal	14	Tylosin
87	066325	B507	B707	J272	Fecal	14	Tylosin
88	066326	B507	B708	J410	Fecal	14	Tylosin
89	066327	B507	B709	J412	Fecal	14	Tylosin
90	066328	B507	B710	J419	Fecal	14	Tylosin
91	066329	B507	B711	J128	Fecal	28	CON
92	066330	B507	B712	J138	Fecal	28	CON
94	066331	B508	B701	J245	Fecal	28	CON
96	066332	B508	B702	J272*2	Fecal	28	CON
97	066333	B508	B703	J301	Fecal	28	CON
98	066334	B508	B704	J328	Fecal	28	CON
99	066335	B508	B705	J329	Fecal	28	CON
100	066336	B508	B706	J413	Fecal	28	CON
101	067474	B501	B701	J262	Fecal	28	CTC
102	067475	B501	B702	J271	Fecal	28	CTC
103	067476	B501	B703	J286	Fecal	28	CTC
104	067477	B501	B704	J293	Fecal	28	CTC
105	067478	B501	B705	J313	Fecal	28	CTC
106	067479	B501	B706	J321	Fecal	28	CTC
107	067480	B501	B707	J324	Fecal	28	CTC
109	067481	B501	B708	J414	Fecal	28	CTC
110	067482	B501	B709	J422	Fecal	28	CTC
111	067483	B501	B710	J112	Fecal	28	Tylosin
113	067484	B501	B711	J203	Fecal	28	Tylosin
114	067485	B501	B712	J225	Fecal	28	Tylosin
115	067486	B502	B701	J226	Fecal	28	Tylosin
116	067487	B502	B702	J238	Fecal	28	Tylosin
117	067488	B502	B703	J272	Fecal	28	Tylosin
118	067489	B502	B704	J410	Fecal	28	Tylosin
119	067490	B502	B705	J412	Fecal	28	Tylosin
120	067491	B502	B706	J419	Fecal	28	Tylosin
121	067492	B502	B707	J128	Fecal	56	CON
122	067493	B502	B708	J138	Fecal	56	CON
124	067494	B502	B709	J245	Fecal	56	CON
125	067495	B502	B710	J246	Fecal	56	CON
126	067496	B502	B711	J272*2	Fecal	56	CON
127	067497	B502	B712	J301	Fecal	56	CON
128	067498	B503	B701	J328	Fecal	56	CON
129	067499	B503	B702	J329	Fecal	56	CON
130	067500	B503	B703	J413	Fecal	56	CON
131	067501	B503	B704	J262	Fecal	56	CTC
132	067502	B503	B705	J271	Fecal	56	CTC
133	067503	B503	B706	J286	Fecal	56	CTC
134	067504	B503	B707	J293	Fecal	56	CTC
135	067505	B503	B708	J313	Fecal	56	CTC
136	067506	B503	B709	J321	Fecal	56	CTC
137	067507	B503	B710	J324	Fecal	56	CTC
139	067508	B503	B711	J414	Fecal	56	CTC
140	067509	B503	B712	J422	Fecal	56	CTC
141	067510	B504	B701	J112	Fecal	56	Tylosin
143	067511	B504	B702	J203	Fecal	56	Tylosin
144	067512	B504	B703	J225	Fecal	56	Tylosin
145	067513	B504	B704	J226	Fecal	56	Tylosin
146	067514	B504	B705	J238	Fecal	56	Tylosin
147	067515	B504	B706	J272	Fecal	56	Tylosin
148	067516	B504	B707	J410	Fecal	56	Tylosin
149	067517	B504	B708	J412	Fecal	56	Tylosin
150	067518	B504	B709	J419	Fecal	56	Tylosin
151	067519	B504	B710	J128	Fecal	112	CON
152	067520	B504	B711	J138	Fecal	112	CON
154	067521	B504	B712	J245	Fecal	112	CON
155	067522	B505	B701	J246	Fecal	112	CON
156	067523	B505	B702	J272*2	Fecal	112	CON
157	067524	B505	B703	J301	Fecal	112	CON
158	067525	B505	B704	J328	Fecal	112	CON
159	067526	B505	B705	J329	Fecal	112	CON
160	067527	B505	B706	J413	Fecal	112	CON
161	067528	B505	B707	J262	Fecal	112	CTC
162	067529	B505	B708	J271	Fecal	112	CTC
163	067530	B505	B709	J286	Fecal	112	CTC
164	067531	B505	B710	J293	Fecal	112	CTC
165	067532	B505	B711	J313	Fecal	112	CTC
166	067533	B505	B712	J321	Fecal	112	CTC
167	067534	B506	B701	J324	Fecal	112	CTC
169	067535	B506	B702	J414	Fecal	112	CTC
170	067536	B506	B703	J422	Fecal	112	CTC
171	067537	B506	B704	J112	Fecal	112	Tylosin
173	067538	B506	B705	J203	Fecal	112	Tylosin
174	067539	B506	B706	J225	Fecal	112	Tylosin
175	067540	B506	B707	J226	Fecal	112	Tylosin
176	067541	B506	B708	J238	Fecal	112	Tylosin
177	067542	B506	B709	J272	Fecal	112	Tylosin
178	067543	B506	B710	J410	Fecal	112	Tylosin
179	067544	B506	B711	J412	Fecal	112	Tylosin
180	067545	B506	B712	J419	Fecal	112	Tylosin
S1	067546	B507	B701	J128	SFecal	154	CON
S2	067547	B507	B702	J138	SFecal	154	CON
S4	067548	B507	B703	J245	SFecal	140	CON
S5	067549	B507	B704	J246	SFecal	152	CON
S6	067550	B507	B705	J272*2	SFecal	152	CON
S7	067551	B507	B706	J301	SFecal	133	CON
S8	067552	B507	B707	J328	SFecal	140	CON
S9	067553	B507	B708	J329	SFecal	140	CON
S10	067554	B507	B709	J413	SFecal	152	CON
S11	067555	B507	B710	J262	SFecal	133	CTC
S12	067556	B507	B711	J271	SFecal	154	CTC
S13	067557	B507	B712	J286	SFecal	152	CTC
S14	067558	B508	B701	J293	SFecal	154	CTC
S15	067559	B508	B702	J313	SFecal	140	CTC
S16	067560	B508	B703	J321	SFecal	152	CTC
S17	067561	B508	B704	J324	SFecal	154	CTC
